	stt	time	v	v-bs	fit
	stt0	time0	v0	v-bs0	fit0
10	['timeout']	2015.155	350	209	[0.9051724137931034, 0.9137931034482759, 0.9137931034482759, 0.9051724137931034, 0.9310344827586207, 0.9224137931034483, 0.9224137931034483, 0.9224137931034483, 0.9396551724137931, 0.9137931034482759, 0.9224137931034483, 0.8620689655172413, 0.9310344827586207, 0.9310344827586207, 0.9310344827586207, 0.9310344827586207, 0.9051724137931034, 0.9224137931034483, 0.9310344827586207, 0.9051724137931034, 0.9224137931034483, 'NULL', 0.9396551724137931, 0.9310344827586207, 0.9396551724137931, 0.9396551724137931, 0.9482758620689655, 0.9396551724137931, 0.9482758620689655, 0.9396551724137931, 0.9137931034482759, 0.9482758620689655, 0.9482758620689655, 0.9482758620689655, 0.9482758620689655]
11	['timeout']	2272.682	3230	2145	[0.8, 0.6, 0.8, 0.8, 0.6, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 'NULL', 0.8, 0.8, 0.8, 'NULL', 0.6, 0.8, 0.6, 0.6, 'NULL', 'NULL', 0.8, 0.8, 0.0, 0.8, 'NULL', 0.8, 0.8, 0.6, 0.6, 0.8, 0.4, 'NULL', 0.8, 0.8, 'NULL', 0.8, 0.8, 0.8, 0.6, 0.8, 0.8, 0.8, 0.8, 'NULL', 0.8, 'NULL', 0.8, 0.0, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.6, 0.8, 0.8, 'NULL', 0.8, 'NULL', 0.6, 0.6, 0.8, 0.8, 0.6, 0.8, 0.6, 0.8, 'NULL', 0.8, 0.8, 'NULL', 0.6, 'NULL', 0.8, 0.8, 0.8, 0.8, 'NULL', 'NULL', 'NULL', 0.6, 0.8, 'NULL', 0.8, 0.6, 0.4, 0.8, 0.8, 0.0, 0.8, 0.6, 'NULL', 0.0, 0.6, 'NULL', 0.8, 0.6, 0.8, 0.8, 0.6, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 'NULL', 'NULL', 'NULL', 0.4, 0.6, 'NULL', 0.8, 0.8, 'NULL', 0.8, 0.8, 'NULL', 'NULL', 0.6, 'NULL', 0.8, 'NULL', 0.8, 'NULL', 0.8, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8, 0.8, 0.8, 0.8, 0.6, 'NULL', 0.8, 0.8, 0.8, 'NULL', 'NULL', 0.8, 0.8, 0.4, 0.8, 0.8, 0.8, 0.6, 0.8, 'NULL', 'NULL', 'NULL', 'NULL', 0.8, 0.8, 0.8, 0.6, 'NULL', 0.8, 0.6, 0.8, 0.8, 0.6, 'NULL', 0.8, 0.8, 'NULL', 0.8, 0.6, 0.6, 0.8, 0.8, 'NULL', 0.4, 0.8, 0.0, 'NULL', 'NULL', 0.6, 'NULL', 0.6, 'NULL', 0.6, 0.8, 0.6, 0.8, 0.0, 'NULL', 'NULL', 0.4, 'NULL', 0.8, 0.8, 0.8, 0.8, 0.8, 'NULL', 'NULL', 0.8, 0.8, 0.8, 0.8, 0.8, 0.6, 0.6, 0.6, 0.8, 0.6, 0.8, 0.8, 0.8, 0.8, 'NULL', 0.6, 0.8, 'NULL', 0.8, 0.6, 'NULL', 'NULL', 0.8, 0.8, 0.6, 0.6, 0.6, 0.8, 0.4, 0.8, 0.8, 0.6, 'NULL', 'NULL', 0.8, 0.8, 0.8, 0.8, 0.8, 0.6, 0.8, 0.8, 0.8, 0.8, 0.4, 'NULL', 0.8, 0.8, 0.8, 0.6, 0.8, 0.8, 'NULL', 0.8, 0.8, 0.8, 0.8, 0.6, 'NULL', 0.8, 0.6, 'NULL', 0.8, 'NULL', 0.8, 0.8, 0.6, 'NULL', 0.6, 0.8, 0.8, 0.6, 'NULL', 'NULL', 0.0, 0.4, 'NULL', 0.8, 0.8, 0.0, 0.8, 0.8, 0.0, 0.8, 0.8, 'NULL', 0.6, 'NULL', 'NULL', 'NULL', 0.8, 'NULL', 0.8, 0.6, 0.8, 0.6, 0.8, 0.8, 0.6, 0.8, 0.8, 0.8, 0.8, 0.6, 'NULL', 0.8, 'NULL', 0.8, 0.8, 'NULL', 'NULL', 0.8, 0.8, 'NULL', 'NULL', 'NULL', 0.8]
12	['timeout']	1970.9	530	335	['NULL', 0.9, 0.7111111111111111, 'NULL', 0.9, 0.9, 0.9, 0.8666666666666667, 0.9, 0.9, 'NULL', 0.9, 'NULL', 0.9, 0.9, 0.9333333333333333, 0.9, 0.9, 0.9, 'NULL', 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.6444444444444445, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 'NULL', 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 'NULL', 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 'NULL', 0.9333333333333333]
13	['timeout']	1867.728	1760	1270	[0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.7777777777777778, 0.0, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.1111111111111111, 0.8888888888888888, 'NULL', 0.6666666666666666, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 0.0, 'NULL', 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 'NULL', 'NULL', 'NULL', 0.4444444444444444, 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.0, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 0.8888888888888888, 0.4444444444444444, 0.8888888888888888, 0.8888888888888888, 0.0, 'NULL', 0.8888888888888888, 0.0, 0.8888888888888888, 0.0, 0.8888888888888888, 'NULL', 'NULL', 0.0, 0.8888888888888888, 'NULL', 'NULL', 0.0, 'NULL', 0.0, 0.4444444444444444, 0.8888888888888888, 'NULL', 0.0, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 0.0, 0.0, 'NULL', 'NULL', 'NULL', 'NULL', 0.6666666666666666, 0.0, 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.0, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.6666666666666666, 'NULL', 0.8888888888888888, 'NULL', 0.0, 0.8888888888888888, 0.0, 0.8888888888888888, 'NULL', 0.0, 0.8888888888888888, 0.8888888888888888, 'NULL', 0.0, 0.8888888888888888, 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 0.0, 0.0, 'NULL', 0.8888888888888888, 0.1111111111111111, 0.0, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.0, 0.8888888888888888, 0.0, 0.8888888888888888, 0.8888888888888888, 0.6666666666666666, 'NULL', 0.0, 'NULL', 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.0, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 0.4444444444444444, 'NULL', 0.0, 'NULL', 0.0, 'NULL', 0.8888888888888888, 0.8888888888888888]
14	['timeout']	2402.022	6430	4569	['NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 0.8888888888888888, 0.4444444444444444, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.6666666666666666, 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.6666666666666666, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 0.3333333333333333, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 0.4444444444444444, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.4444444444444444, 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 0.6666666666666666, 'NULL', 0.8888888888888888, 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.6666666666666666, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.0, 'NULL', 0.6666666666666666, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.6666666666666666, 'NULL', 'NULL', 0.6666666666666666, 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.3333333333333333, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.4444444444444444, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.6666666666666666, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.3333333333333333, 'NULL', 'NULL', 'NULL', 0.4444444444444444, 0.4444444444444444, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.6666666666666666, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.4444444444444444, 'NULL', 'NULL', 0.8888888888888888, 0.4444444444444444, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.3333333333333333, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.6666666666666666, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 0.4444444444444444, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 0.4444444444444444, 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.6666666666666666, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 0.8888888888888888, 'NULL', 'NULL', 0.4444444444444444, 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.8888888888888888, 'NULL', 'NULL', 0.3333333333333333, 'NULL', 0.8888888888888888, 0.8888888888888888, 'NULL', 'NULL', 'NULL', 'NULL', 0.4444444444444444, 'NULL', 'NULL', 0.8888888888888888, 0.6666666666666666]
15	['timeout']	2407.071	270	147	[0.9827586206896551, 0.9827586206896551, 0.9827586206896551, 0.9612068965517241, 0.9827586206896551, 0.9827586206896551, 'NULL', 'NULL', 0.9827586206896551, 'NULL', 'NULL', 0.9956896551724138, 0.9827586206896551, 0.9870689655172413, 0.9956896551724138, 0.9870689655172413, 'NULL', 0.9870689655172413, 0.0, 0.9956896551724138, 0.9913793103448276, 0.9956896551724138, 0.9741379310344828, 0.0, 'NULL', 0.0, 0.9956896551724138]
16	[]	2400.265	60	31	[0.9694323144104804, 0.9519650655021834, 0.9694323144104804, 0.9694323144104804, 0.9694323144104804, 0.8864628820960698]
17	['timeout']	2412.385	390	188	[0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 'NULL', 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.9904761904761905, 0.0, 0.9809523809523809, 'NULL', 0.9904761904761905, 0.6, 0.9904761904761905, 0.9904761904761905, 0.9428571428571428, 0.9904761904761905, 0.9904761904761905]
18	['found']	68.037	90	63	[0.9285714285714286, 0.9285714285714286, 'NULL', 0.9285714285714286, 0.35714285714285715, 0.9285714285714286, 'NULL', 0.9285714285714286, 1.0]
19	['timeout']	2141.656	2290	1449	[0.96, 'NULL', 0.96, 'NULL', 0.96, 0.96, 'NULL', 0.96, 0.96, 'NULL', 'NULL', 0.96, 'NULL', 'NULL', 0.4, 'NULL', 0.96, 0.92, 0.96, 'NULL', 0.96, 0.96, 0.92, 'NULL', 0.96, 0.32, 'NULL', 0.96, 0.96, 0.96, 0.36, 0.0, 0.72, 0.96, 0.88, 0.96, 'NULL', 0.96, 0.96, 0.8, 'NULL', 'NULL', 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 'NULL', 0.96, 'NULL', 0.96, 'NULL', 'NULL', 0.96, 'NULL', 0.32, 0.32, 'NULL', 0.96, 0.96, 0.96, 0.96, 0.96, 0.76, 0.64, 0.32, 'NULL', 0.44, 0.92, 0.36, 0.96, 0.72, 0.96, 0.96, 0.36, 'NULL', 0.92, 'NULL', 0.36, 0.96, 'NULL', 'NULL', 0.96, 0.96, 0.96, 0.96, 0.96, 0.36, 0.4, 0.4, 0.96, 0.84, 0.32, 0.96, 0.88, 0.96, 'NULL', 0.96, 'NULL', 0.96, 'NULL', 'NULL', 0.96, 'NULL', 'NULL', 0.36, 0.4, 0.92, 0.32, 'NULL', 0.96, 'NULL', 'NULL', 'NULL', 0.96, 0.96, 'NULL', 0.96, 0.8, 'NULL', 0.96, 0.96, 0.96, 0.88, 'NULL', 'NULL', 0.96, 0.64, 'NULL', 0.92, 0.32, 0.4, 0.88, 0.44, 0.96, 0.96, 0.96, 'NULL', 0.96, 'NULL', 'NULL', 'NULL', 0.96, 0.28, 0.96, 'NULL', 'NULL', 0.32, 0.96, 'NULL', 0.96, 0.72, 'NULL', 0.96, 0.96, 0.96, 0.36, 'NULL', 0.8, 'NULL', 'NULL', 'NULL', 'NULL', 0.96, 0.96, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8, 'NULL', 'NULL', 0.96, 'NULL', 'NULL', 0.32, 'NULL', 0.96, 'NULL', 'NULL', 'NULL', 'NULL', 0.96, 0.96, 0.32, 0.4, 'NULL', 0.8, 0.32, 0.96, 0.52, 0.96, 'NULL', 0.76, 0.4, 'NULL', 'NULL', 0.36, 'NULL', 0.96, 0.96, 'NULL', 0.88, 0.4, 0.96, 'NULL', 0.96, 0.96, 0.36, 0.36, 0.96, 0.96, 'NULL', 0.96, 'NULL', 'NULL', 'NULL', 0.96, 'NULL', 0.4, 0.96, 'NULL', 'NULL', 0.68, 0.84]
20	['found']	31.308	20	13	[0.9583333333333334, 1.0]
21	['timeout']	2038.191	4610	2954	[0.0, 'NULL', 'NULL', 0.6666666666666666, 0.8333333333333334, 0.75, 'NULL', 0.25, 0.8333333333333334, 0.75, 0.8333333333333334, 0.75, 0.75, 0.75, 0.75, 'NULL', 'NULL', 0.0, 'NULL', 0.8333333333333334, 0.75, 0.8333333333333334, 0.25, 'NULL', 'NULL', 'NULL', 0.0, 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 0.25, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 'NULL', 'NULL', 0.75, 'NULL', 'NULL', 0.75, 0.6666666666666666, 0.0, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.3333333333333333, 'NULL', 0.8333333333333334, 'NULL', 0.8333333333333334, 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 0.75, 0.8333333333333334, 'NULL', 'NULL', 0.75, 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 0.8333333333333334, 'NULL', 0.8333333333333334, 0.5, 'NULL', 'NULL', 0.75, 0.8333333333333334, 0.8333333333333334, 0.75, 0.0, 0.25, 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.25, 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.75, 'NULL', 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 'NULL', 0.0, 0.8333333333333334, 0.6666666666666666, 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.0, 0.8333333333333334, 'NULL', 0.75, 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 0.0, 'NULL', 'NULL', 0.8333333333333334, 'NULL', 'NULL', 0.75, 0.8333333333333334, 0.16666666666666666, 0.0, 'NULL', 0.75, 0.8333333333333334, 0.8333333333333334, 'NULL', 0.75, 0.6666666666666666, 'NULL', 0.8333333333333334, 0.5, 0.8333333333333334, 'NULL', 0.75, 'NULL', 'NULL', 0.75, 'NULL', 0.8333333333333334, 'NULL', 'NULL', 'NULL', 'NULL', 0.25, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.75, 0.3333333333333333, 0.0, 0.75, 0.8333333333333334, 0.0, 0.8333333333333334, 'NULL', 0.75, 0.0, 0.8333333333333334, 0.0, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.75, 'NULL', 'NULL', 'NULL', 'NULL', 0.75, 'NULL', 'NULL', 0.8333333333333334, 0.25, 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 'NULL', 0.8333333333333334, 'NULL', 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 0.5833333333333334, 'NULL', 'NULL', 0.16666666666666666, 0.0, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.75, 0.0, 'NULL', 0.8333333333333334, 'NULL', 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 'NULL', 0.8333333333333334, 0.16666666666666666, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.8333333333333334, 'NULL', 'NULL', 0.5833333333333334, 0.8333333333333334, 'NULL', 'NULL', 'NULL', 0.8333333333333334, 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.8333333333333334, 0.75, 'NULL', 'NULL', 0.8333333333333334, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 'NULL', 0.0, 'NULL', 0.25, 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 0.5833333333333334, 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 'NULL', 0.8333333333333334, 0.8333333333333334, 0.75, 'NULL', 0.75, 0.8333333333333334, 'NULL', 0.0, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.75, 0.8333333333333334, 0.75, 0.8333333333333334, 0.25, 'NULL', 'NULL', 0.0, 'NULL', 'NULL', 0.8333333333333334, 0.25, 0.8333333333333334, 'NULL', 'NULL', 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.0, 'NULL', 0.8333333333333334, 0.5833333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 'NULL', 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 'NULL', 0.8333333333333334, 0.5, 0.0, 0.75, 'NULL', 'NULL', 'NULL', 0.75, 'NULL', 0.8333333333333334, 0.75, 0.8333333333333334, 'NULL', 0.75, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 'NULL', 'NULL', 0.25, 'NULL', 'NULL', 0.75, 'NULL', 0.8333333333333334, 0.75, 0.75, 0.5, 0.8333333333333334, 0.8333333333333334, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8333333333333334, 'NULL', 0.0, 'NULL', 0.75, 'NULL', 0.8333333333333334, 0.75, 0.0, 'NULL', 'NULL', 0.75, 'NULL', 0.25, 0.8333333333333334, 'NULL', 'NULL', 'NULL', 'NULL', 0.0, 0.8333333333333334, 'NULL', 'NULL', 0.8333333333333334, 'NULL', 0.6666666666666666, 'NULL', 'NULL', 0.75, 0.8333333333333334, 'NULL', 'NULL', 0.0, 0.0, 'NULL', 0.8333333333333334, 0.0, 0.8333333333333334, 0.75, 0.0, 0.0, 'NULL', 0.8333333333333334, 'NULL', 0.75, 0.75, 'NULL', 'NULL', 0.8333333333333334, 'NULL', 0.75, 0.8333333333333334, 'NULL', 0.8333333333333334, 'NULL', 0.25, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 0.8333333333333334, 'NULL', 0.8333333333333334, 'NULL', 0.0, 'NULL', 0.25, 0.75, 'NULL', 'NULL', 'NULL', 0.75, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.8333333333333334, 0.75, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666]
